legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
aead2a97,QC26060121,12308,สีไม่ตรง STD./Color off Standard,Minor,315
6146b8f6,QC26060123,"12308 , 12309","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,1
c960d2ae,QC26060123,"12308 , 12312","สีไม่ตรง STD./Color off Standard , คราบสกปรก/Dirty",Minor,2
65c8ef38,QC26060123,12308,สีไม่ตรง STD./Color off Standard,Minor,312
6f0ddd67,QC26060128,12308,สีไม่ตรง STD./Color off Standard,Minor,498
44027ab1,QC26060128,"12312 , 12308","สีไม่ตรง STD./Color off Standard , คราบสกปรก/Dirty",Minor,1
3e013ef2,QC26060128,"12309 , 12308","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,1
fa26bbee,QC26060129,12308,สีไม่ตรง STD./Color off Standard,Minor,500
ad523f2e,QC26060130,12308,สีไม่ตรง STD./Color off Standard,Minor,1000
aaa27c75,QC26060131,12308,สีไม่ตรง STD./Color off Standard,Minor,497
088cb6bb,QC26060131,"12346 , 12308","สีไม่ตรง STD./Color off Standard , คราบกาว/Glue stain",Minor,1
6d0dea51,QC26060131,"12313 , 12308","สีไม่ตรง STD./Color off Standard , เป็นเม็ด/Dot",Minor,1
4b748b7c,QC26060131,"12372 , 12308","สีไม่ตรง STD./Color off Standard , โดนความร้อน/Heat mark",Minor,1
e835dc75,QC26060132,12308,สีไม่ตรง STD./Color off Standard,Minor,454
ce940add,QC26060132,"12339 , 12308","สีไม่ตรง STD./Color off Standard , ไม่เหมือน STD./ not same STD.",Minor,43
e8e1cd75,QC26060132,"12326 , 12308","สีไม่ตรง STD./Color off Standard , บิ่น/chip",Major,1
b7e99c1b,QC26060132,"12309 , 12308","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,1
0e695eeb,QC26060132,"12318 , 12308","สีไม่ตรง STD./Color off Standard , รอยเส้น/Trace mark",Minor,1
c29fb1e9,QC26060133,12308,สีไม่ตรง STD./Color off Standard,Minor,496
d1855e08,QC26060133,"12305 , 12308","บุบ/Dent , สีไม่ตรง STD/Color off Standard",Minor,4
edc6fd75,QC26060134,12308,สีไม่ตรง STD./Color off Standard,Minor,200
